wo_num,item_name,ord_qty,release_sim,due_sim,start_sim,finish_sim,lead_time,tardy,tardiness
WO-06647,ITEM-01005,5,265.0,314.0,265.0,280.0939236111111,15.093923611111109,False,0.0
WO-05939,ITEM-00451,13,252.0,301.0,252.0,280.10295138888887,28.10295138888887,False,0.0
WO-04322,ITEM-01138,50,271.0,306.0,271.0,280.11041666666665,9.110416666666652,False,0.0
WO-04774,ITEM-03054,3,275.0,317.0,275.0,280.12586805555554,5.125868055555543,False,0.0
WO-04640,ITEM-01097,5,254.0,310.0,254.0,280.18090277777776,26.18090277777776,False,0.0
WO-05849,ITEM-00566,60,259.0,343.0,259.0,280.2501736111111,21.25017361111111,False,0.0
WO-06537,ITEM-01357,40,268.0,303.0,268.0,280.2501736111111,12.250173611111109,False,0.0
WO-05808,ITEM-00308,20,258.0,328.0,258.0,280.2501736111111,22.25017361111111,False,0.0
WO-02589,ITEM-00275,8,253.0,337.0,253.0,280.274826388889,27.274826388888982,False,0.0
WO-06156,ITEM-03505,73,275.0,317.0,275.0,280.3345208333334,5.334520833333386,False,0.0
WO-06983,ITEM-01666,50,254.0,296.0,254.0,280.3381944444445,26.338194444444525,False,0.0
WO-04999,ITEM-00657,1,275.0,303.0,275.0,280.4486111111111,5.44861111111112,False,0.0
WO-06578,ITEM-03645,2,267.0,309.0,267.0,280.4531249999999,13.453124999999886,False,0.0
WO-06170,ITEM-01666,58,257.0,299.0,257.0,280.45468750000003,23.454687500000034,False,0.0
WO-06000,ITEM-03453,5,247.0,310.0,247.0,280.49770833333326,33.497708333333264,False,0.0
WO-03477,ITEM-01090,40,268.0,310.0,268.0,280.5071111111112,12.507111111111215,False,0.0
WO-01851,ITEM-00675,5,264.0,334.0,264.0,280.5314236111111,16.53142361111111,False,0.0
WO-03602,ITEM-01227,25,268.0,310.0,268.0,280.53315972222225,12.533159722222251,False,0.0
WO-04158,ITEM-02789,14,267.0,302.0,267.0,280.5681944444443,13.568194444444316,False,0.0
WO-04277,ITEM-00454,8,264.0,355.0,264.0,280.57635416666665,16.576354166666647,False,0.0
WO-04925,ITEM-03139,100,264.0,313.0,264.0,280.7685763888889,16.768576388888903,False,0.0
WO-04083,ITEM-00019,1,265.0,307.0,265.0,280.79438194444367,15.794381944443671,False,0.0
